,County / unitary (as of April 2021),CTYUA20CD,2002
135,Kent,E10000016,1338968
131,Essex,E10000012,1319145
133,Hampshire,E10000014,1245073
136,Lancashire,E10000017,1138374
147,Surrey,E10000030,1059472
134,Hertfordshire,E10000015,1040387
80,Birmingham,E08000025,990384
145,Staffordshire,E10000028,810199
139,Norfolk,E10000020,803463
149,West Sussex,E10000032,757263
142,Nottinghamshire,E10000024,752581
128,Derbyshire,E10000007,738409
90,Leeds,E08000035,716380
129,Devon,E10000008,709940
146,Suffolk,E10000029,674579
138,Lincolnshire,E10000019,655580
140,Northamptonshire,E10000021,636780
137,Leicestershire,E10000018,614065
143,Oxfordshire,E10000025,609491
192,Glasgow City,S12000049,576450
141,North Yorkshire,E10000023,573186
132,Gloucestershire,E10000013,566445
126,Cambridgeshire,E10000003,558916
150,Worcestershire,E10000034,544474
75,Sheffield,E08000019,514201
148,Warwickshire,E10000031,510691
48,Cornwall,E06000052,504644
144,Somerset,E10000027,503132
130,East Sussex,E10000011,496927
44,County Durham,E06000047,493538
127,Cumbria,E10000006,488681
56,Buckinghamshire,E06000060,478768
87,Bradford,E08000032,475184
183,City of Edinburgh,S12000036,447500
68,Liverpool,E08000012,443784
50,Wiltshire,E06000054,438386
59,Manchester,E08000003,428221
89,Kirklees,E08000034,392118
22,"Bristol, City of",E06000023,389735
45,Cheshire East,E06000049,353348
190,Fife,S12000047,350740
55,Dorset,E06000059,350487
54,"Bournemouth, Christchurch and Poole",E06000058,348717
100,Croydon,E09000008,335415
153,Belfast,N09000003,328471
46,Cheshire West and Chester,E06000050,322657
193,North Lanarkshire,S12000050,322520
95,Barnet,E09000003,320552
10,East Riding of Yorkshire,E06000011,318633
91,Wakefield,E08000036,316306
71,Wirral,E08000015,315050
207,Cardiff,W06000015,312021
101,Ealing,E09000009,309242
53,Northumberland,E06000057,308499
82,Dudley,E08000027,305645
178,South Lanarkshire,S12000029,302770
66,Wigan,E08000010,302305
81,Coventry,E08000026,301295
98,Bromley,E09000006,296668
73,Doncaster,E08000017,288647
83,Sandwell,E08000028,285637
15,Leicester,E06000016,285295
47,Shropshire,E06000051,284901
63,Stockport,E08000007,283502
79,Sunderland,E08000024,283037
70,Sefton,E08000014,280866
102,Enfield,E09000010,280745
124,Wandsworth,E09000032,274917
114,Lambeth,E09000022,273041
17,Nottingham,E06000018,271769
97,Brent,E09000005,269871
76,Newcastle upon Tyne,E08000021,267001
57,Bolton,E08000001,262367
120,Southwark,E09000028,256269
117,Newham,E09000025,255282
85,Walsall,E08000030,254287
115,Lewisham,E09000023,253662
32,Medway,E06000035,250262
40,Brighton and Hove,E06000043,249743
74,Rotherham,E08000018,249610
9,"Kingston upon Hull, City of",E06000010,249463
24,South Gloucestershire,E06000025,247755
109,Hillingdon,E09000017,247063
118,Redbridge,E09000026,244273
25,Plymouth,E06000026,242550
20,Stoke-on-Trent,E06000021,239955
86,Wolverhampton,E08000031,239088
52,Central Bedfordshire,E06000056,236297
14,Derby,E06000015,231979
208,Rhondda Cynon Taff,W06000016,231795
181,Aberdeenshire,S12000034,228830
108,Havering,E09000016,225054
203,Swansea,W06000011,224755
106,Haringey,E09000014,224474
123,Waltham Forest,E09000031,223776
103,Greenwich,E09000011,221476
42,Southampton,E06000045,220459
96,Bexley,E09000004,219123
72,Barnsley,E08000016,218851
60,Oldham,E08000004,218455
110,Hounslow,E09000018,216888
62,Salford,E08000006,216310
39,Milton Keynes,E06000042,215061
64,Tameside,E08000008,213211
107,Harrow,E09000015,212336
65,Trafford,E08000009,211062
104,Hackney,E09000012,210961
180,Aberdeen City,S12000033,210680
169,Highland,S12000017,209760
125,Westminster,E09000033,208100
122,Tower Hamlets,E09000030,207031
61,Rochdale,E08000005,206697
99,Camden,E09000007,203972
84,Solihull,E08000029,200028
88,Calderdale,E08000033,193201
77,North Tyneside,E08000022,192739
6,Warrington,E06000007,191615
92,Gateshead,E08000037,191559
116,Merton,E09000024,190561
23,North Somerset,E06000024,189718
41,Portsmouth,E06000044,188476
29,Luton,E06000032,185631
3,Stockton-on-Tees,E06000004,184940
27,Swindon,E06000030,182110
13,York,E06000014,182088
121,Sutton,E09000029,181265
58,Bury,E08000002,181084
111,Islington,E09000019,180118
152,"Armagh City, Banbridge and Craigavon",N09000002,177357
69,St. Helens,E08000013,176295
119,Richmond upon Thames,E09000027,175441
18,"Herefordshire, County of",E06000019,175258
202,Carmarthenshire,W06000010,174628
184,Renfrewshire,S12000038,172300
105,Hammersmith and Fulham,E09000013,171989
209,Caerphilly,W06000018,170776
21,Bath and North East Somerset,E06000022,169819
94,Barking and Dagenham,E09000002,166357
112,Kensington and Chelsea,E09000020,163827
30,Southend-on-Sea,E06000033,161159
186,West Lothian,S12000040,160370
19,Telford and Wrekin,E06000020,159401
28,Peterborough,E06000031,158794
11,North East Lincolnshire,E06000012,158003
160,"Newry, Mourne and Down",N09000010,154984
12,North Lincolnshire,E06000013,154240
78,South Tyneside,E08000023,152210
67,Knowsley,E08000011,150506
161,Ards and North Down,N09000011,150198
113,Kingston upon Thames,E09000021,149642
51,Bedford,E06000055,149589
38,Wokingham,E06000041,149445
198,Flintshire,W06000005,148947
163,Dumfries and Galloway,S12000006,147670
168,Falkirk,S12000014,145920
31,Thurrock,E06000034,144728
188,Dundee City,S12000042,144370
155,Derry City and Strabane,N09000005,144280
35,Reading,E06000038,143915
34,West Berkshire,E06000037,143913
8,Blackpool,E06000009,142164
1,Middlesbrough,E06000002,140090
7,Blackburn with Darwen,E06000008,139538
213,Newport,W06000022,138727
2,Redcar and Cleveland,E06000003,138520
173,North Ayrshire,S12000021,135890
191,Perth and Kinross,S12000048,135130
204,Neath Port Talbot,W06000012,134931
43,Isle of Wight,E06000046,133908
37,Windsor and Maidenhead,E06000040,133631
154,Causeway Coast and Glens,N09000004,132827
26,Torbay,E06000027,130521
205,Bridgend,W06000013,129741
151,Antrim and Newtownabbey,N09000001,129502
199,Wrexham,W06000006,128595
158,Mid and East Antrim,N09000008,128281
214,Powys,W06000023,127145
157,Lisburn and Castlereagh,N09000007,124757
36,Slough,E06000039,120927
206,Vale of Glamorgan,W06000014,120279
159,Mid Ulster,N09000009,120214
164,East Ayrshire,S12000008,119920
5,Halton,E06000006,118788
195,Gwynedd,W06000002,117344
201,Pembrokeshire,W06000009,114146
177,South Ayrshire,S12000028,111690
196,Conwy,W06000003,110624
33,Bracknell Forest,E06000036,109490
187,Angus,S12000041,108810
175,Scottish Borders,S12000026,107530
189,East Dunbartonshire,S12000045,107350
156,Fermanagh and Omagh,N09000006,106663
4,Darlington,E06000005,98474
197,Denbighshire,W06000004,93478
185,West Dunbartonshire,S12000039,93040
165,East Lothian,S12000010,91060
182,Argyll and Bute,S12000035,91020
211,Torfaen,W06000020,90700
0,Hartlepool,E06000001,89993
166,East Renfrewshire,S12000011,89930
172,Moray,S12000020,87690
179,Stirling,S12000030,86630
212,Monmouthshire,W06000021,85417
170,Inverclyde,S12000018,83730
171,Midlothian,S12000019,80880
200,Ceredigion,W06000008,75500
210,Blaenau Gwent,W06000019,69452
194,Isle of Anglesey,W06000001,67879
215,Merthyr Tydfil,W06000024,55996
162,Clackmannanshire,S12000005,48140
16,Rutland,E06000017,35295
167,Na h-Eileanan Siar,S12000013,26350
176,Shetland Islands,S12000027,22000
174,Orkney Islands,S12000023,19330
93,City of London,E09000001,7280
49,Isles of Scilly,E06000053,2170
